Case,Age,Years_in_post,Highest_LOE,PTI1,PTI2,PTI3,PTI4,PTI5,PTI6,PTI7,PTI8,PTI9,PTI10,PTI11,PTI12,PTI13,PTI14,PTI15,PTI16,PTI17,PTI18,PTI19,PTI20,PTI21,PTI22,PTI23,PTI24,PTI25,PTI26,PTI27,PTI28,PTI29,PTI30,PTI31,PTI32,PTI33,PTI34,PTI35,PTI36,PTI37,Specific_training_needs,Other_training_needs,PTP1,PTP2,PTP3,PTP4,PTP5,PTP6,PTP7,PTP8,PTP9,PTP10,PTP11,PTP12,PTP13,PTP14,PTP15,PTP16,PTP17,PTP18,PTP19,PTP20,PTP21,PTP22,PTP23,PTP24,PTP25,PTP26,PTP27,PTP28,PTP29,PTP30,PTP31,PTP32,PTP33,PTP34,PTP35,PTP36,PTP37
78,43,15,1,7,6,5,6,7,7,5,7,6,6,7,7,7,7,7,6,6,6,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,5,6,5,3,6,4,5,7,4,3,5,5,7,7,7,6,6,6,5,6,1,6,7,3,4,4,5,7,4,5,5,4,5,6,4,5,5
79,44,10,1,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,7,6,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,6,5,1,4,4,4,2,6,6,4,4,4,7,7,5,6,6,7,6,5,3,5,4,6,4,5,5,6,3,5,5,3,4,4,3,4,6
80,34,5,1,5,7,5,5,6,6,3,7,5,5,6,5,6,6,7,7,5,6,5,7,3,3,6,3,5,6,7,7,7,6,6,4,7,6,7,7,7,3,3,5,6,3,7,6,5,3,6,5,2,6,6,6,6,5,5,6,6,5,6,6,6,7,3,5,3,5,4,7,4,5,5,5,4,3,4,6
81,26,4,2,7,7,7,7,7,7,7,7,7,5,7,6,6,7,7,7,7,7,7,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,3,3,5,6,3,5,6,5,2,7,7,2,4,6,6,7,6,3,4,7,6,6,4,5,3,6,4,6,6,4,6,5,6,6,4,3,4,6,4
82,52,26,1,7,6,5,6,6,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,1,6,4,6,1,7,6,3,6,4,7,7,5,3,5,6,3,6,1,7,4,4,3,4,6,7,6,4,6,5,4,5,3,3,5
83,31,4,2,5,5,4,4,6,5,4,7,5,5,5,5,5,6,6,5,5,5,5,6,3,6,3,5,6,6,7,7,7,6,6,5,7,6,6,6,7,3,3,5,5,4,3,5,3,4,7,5,2,5,5,5,6,6,5,4,5,5,6,3,3,3,5,6,5,5,6,7,3,4,3,3,6,6,6,5
84,29,7,2,6,5,5,5,6,5,4,6,4,5,6,5,6,5,5,5,5,5,5,6,4,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,1,6,3,4,4,6,4,5,6,6,6,5,5,5,5,5,5,7,4,5,6,6,6,6,5,6,6,4,6,3,6,6,4,2,5
85,42,12,1,7,7,7,7,7,7,4,7,4,3,4,6,7,7,7,7,7,7,5,7,2,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,3,5,4,4,5,4,2,5,7,5,7,7,7,3,4,5,7,2,6,4,3,3,6,5,5,6,4,6,6,4,5,5,4,6
86,39,6,2,7,6,6,7,7,6,5,7,7,6,7,7,7,6,7,7,7,7,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,8,4,6,2,3,4,2,6,5,6,2,4,5,5,6,7,3,2,6,6,6,1,3,4,6,2,5,6,5,5,4,4,6,6,5,3,6,6
87,39,10,2,7,6,5,4,7,6,6,7,7,7,7,7,7,6,7,6,7,7,5,7,6,6,6,7,6,4,6,5,6,7,7,7,7,6,7,7,7,3,3,5,6,4,4,5,3,2,5,5,4,4,6,6,6,5,6,3,5,6,5,3,6,7,3,4,4,6,4,5,6,6,5,3,4,4,3,4
88,36,5,1,7,6,6,7,7,7,6,7,6,5,5,7,7,7,6,6,5,6,7,7,6,7,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,2,2,5,6,6,4,3,4,1,4,6,2,6,7,4,7,6,6,6,6,4,4,6,4,5,6,7,4,5,5,6,3,5,4,4,5,5,4,4
89,33,2,2,7,5,5,6,7,7,5,7,6,5,6,6,7,6,7,7,7,7,7,5,2,6,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,6,5,3,5,4,5,5,6,5,6,4,4,6,4,7,4,5,4,4,2,5,4,5,6,4,7,5,6,3,4,5,6,5,3,5,4
90,32,4,2,7,7,5,6,7,7,5,7,7,6,7,7,7,7,7,6,6,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,5,4,1,4,5,5,5,7,7,3,4,4,5,7,7,6,3,4,6,4,4,4,3,6,7,3,7,4,7,3,5,4,5,3,3,5,5
91,42,12,2,7,5,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,3,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,14,3,5,2,3,3,6,1,7,6,3,2,5,7,7,6,2,2,4,4,6,3,5,6,3,6,2,6,5,6,4,4,5,3,6,4,4,4
92,48,15,2,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2,1,6,6,2,5,4,6,5,5,7,3,3,7,5,7,6,5,3,4,3,5,1,3,4,6,3,3,7,7,3,5,5,6,4,4,4,5,4
93,40,15,2,7,7,6,5,6,7,6,7,6,7,6,6,6,7,7,7,7,7,7,7,4,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,3,3,6,4,1,5,2,5,5,6,5,4,6,6,6,7,7,3,3,6,4,6,3,3,7,6,6,2,5,5,5,4,5,3,3,4,3,6,5
94,47,14,2,7,6,5,6,7,7,5,7,6,6,7,7,7,6,7,6,6,6,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,6,2,5,5,4,2,6,6,2,7,7,4,6,7,6,4,6,5,6,3,5,3,7,3,3,6,7,6,4,6,6,3,5,3,4,4
95,36,2,2,7,7,3,4,5,7,6,7,6,7,5,5,7,7,7,7,5,7,6,7,4,7,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7,1,1,5,5,2,3,4,5,4,5,4,3,5,4,5,7,7,6,4,6,4,4,2,5,3,5,3,4,7,7,5,4,4,4,3,4,5,4,4
96,39,6,2,7,6,5,6,7,7,5,7,6,5,7,7,7,7,7,6,7,7,7,7,4,7,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,5,6,1,3,4,4,6,6,6,2,3,5,5,7,7,7,3,7,4,4,3,3,7,6,2,3,4,5,6,4,6,3,4,5,2,5,5
97,45,15,2,7,6,4,4,7,7,7,7,7,7,6,6,7,6,6,6,7,7,7,7,4,7,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,4,6,1,4,3,7,3,6,2,2,6,6,7,6,6,6,5,6,5,5,4,4,6,4,3,3,6,4,6,2,3,6,5,5,5,4,4
98,42,15,2,7,6,5,6,7,7,6,7,5,7,7,7,7,6,7,6,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,6,1,6,5,4,3,7,6,3,4,4,7,7,7,6,6,7,4,6,2,4,5,6,3,2,6,4,5,4,7,3,4,6,5,3,5
99,37,5,2,7,6,5,6,7,7,6,4,7,7,7,6,7,6,6,6,6,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,2,2,6,6,2,4,5,7,3,5,3,1,4,4,6,7,6,6,4,6,6,6,4,3,5,4,4,2,7,5,7,5,6,3,4,4,4,5,5
100,36,4,2,7,6,6,7,7,7,6,7,6,5,5,7,7,7,6,6,5,6,7,7,6,7,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,2,2,6,6,6,7,3,4,6,5,3,2,6,5,4,7,6,6,6,6,5,4,3,5,5,5,2,4,6,6,6,4,5,4,5,5,5,4,4
101,33,4,2,7,5,5,6,7,7,5,7,6,5,6,6,7,6,7,7,7,7,7,5,2,6,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,6,5,2,4,4,5,7,4,2,6,6,4,6,4,7,3,5,4,5,2,6,5,5,6,4,5,6,6,3,6,5,6,5,3,5,4
102,32,10,2,7,6,6,6,7,7,6,7,6,6,7,7,7,7,6,6,6,6,7,6,5,7,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,1,14,2,6,6,2,5,4,6,4,5,1,3,5,7,7,6,6,6,4,4,6,4,3,6,6,4,4,6,5,7,4,4,4,4,5,4,5,4
103,44,20,2,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,5,7,7,6,7,7,7,7,7,7,7,7,7,1,1,3,6,3,1,4,4,4,4,3,1,3,5,3,7,5,7,6,4,5,5,3,7,4,4,2,3,6,5,7,4,7,3,3,5,4,4,2
104,35,8,2,7,6,6,7,7,7,6,7,6,7,7,7,7,6,7,6,7,7,7,7,6,7,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,3,3,3,6,2,2,4,4,2,6,6,3,2,5,4,6,5,6,3,4,4,5,3,5,7,6,3,5,5,4,6,2,4,5,4,5,5,3,5
105,36,7,1,7,6,7,7,7,7,6,7,6,7,7,7,7,7,6,7,6,7,6,6,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,4,6,3,2,5,3,6,6,3,2,3,3,4,7,6,3,6,6,6,6,2,7,6,6,3,3,7,7,6,3,5,5,3,6,5,5,4
106,40,15,2,7,6,6,6,7,7,6,7,6,7,7,7,7,7,6,7,6,7,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,5,6,3,3,5,3,3,6,3,4,3,6,6,7,6,4,4,5,5,6,3,5,3,6,5,4,7,4,6,3,5,4,4,5,3,6,3
107,40,19,2,7,6,7,6,7,7,6,7,6,6,7,7,7,7,7,6,6,6,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,6,6,5,2,4,3,3,6,2,3,4,5,4,7,5,6,4,6,5,6,3,4,2,6,4,3,6,7,7,5,4,3,3,5,3,6,4
108,32,4,2,7,7,5,6,7,7,5,7,7,6,7,7,7,7,7,6,6,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,3,5,3,4,5,5,5,7,4,2,4,6,6,7,5,5,2,7,5,7,2,4,6,6,2,5,5,6,7,5,7,5,2,5,3,2,4
109,35,0,2,7,6,7,6,7,7,6,7,6,6,7,7,7,7,7,7,6,6,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,5,2,3,1,3,2,5,3,2,3,3,3,5,4,4,7,2,6,6,5,3,4,6,4,2,4,5,7,7,5,4,4,4,4,4,5,6
110,32,7,2,7,7,7,7,7,7,7,7,6,5,7,7,7,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,4,4,3,4,2,1,6,2,2,4,5,5,6,5,6,4,4,4,5,2,4,4,7,3,4,5,4,4,2,5,3,5,4,3,5,6
111,42,15,2,7,5,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,3,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,4,5,3,4,4,2,1,4,3,3,5,5,5,7,4,7,3,4,5,5,3,3,7,6,6,4,6,6,5,2,5,5,4,4,3,4,5
112,48,22,2,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,6,2,4,3,4,3,6,3,4,3,4,7,7,5,4,3,5,4,4,2,5,6,6,2,6,4,5,5,2,5,3,5,6,2,5,5
113,35,9,2,7,7,6,5,6,7,6,7,6,7,6,6,6,7,7,7,7,7,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,6,4,5,7,6,6,5,5,5,3,6,6,6,7,4,4,3,4,6,7,3,4,4,6,6,3,6,4,5,3,5,4,3,6,4,5,3
114,34,10,1,7,6,5,6,7,7,5,7,6,6,7,7,7,6,7,6,6,6,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,3,6,5,5,3,4,5,5,6,2,4,5,7,6,4,6,6,6,6,4,5,4,6,7,3,5,5,5,6,3,6,3,4,5,5,4,4
115,41,15,1,7,7,6,4,5,7,6,7,6,7,5,5,7,7,7,7,5,7,6,7,4,7,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7,1,1,5,5,5,7,5,5,4,5,4,5,5,5,6,7,5,6,6,6,4,4,3,6,3,5,7,6,5,5,6,3,6,6,4,4,4,4,3
116,26,2,2,7,6,5,6,7,7,5,7,6,5,7,7,7,7,7,6,7,7,7,7,4,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,13,6,6,5,5,2,6,2,7,2,2,3,7,7,7,5,7,2,7,5,4,5,4,4,6,2,4,6,7,6,4,6,6,5,3,3,5,5
117,29,0,2,7,6,4,4,7,7,7,7,7,7,6,6,7,6,6,6,7,7,7,7,4,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,12,7,2,4,5,6,6,3,4,3,2,4,4,4,6,6,6,2,6,5,6,4,5,6,6,3,4,6,6,6,4,4,4,4,4,3,5,4
118,26,0,2,7,6,5,6,7,7,6,7,5,7,7,7,7,6,7,6,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,5,6,5,4,4,3,3,7,6,3,5,7,4,6,5,4,6,5,5,5,3,5,3,6,4,6,6,7,6,2,4,4,4,5,3,6,4
119,30,2,2,7,6,5,6,7,7,6,4,7,7,7,6,7,6,6,6,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,5,6,5,6,4,6,2,5,4,1,5,6,5,6,6,3,3,6,6,4,5,3,4,4,3,5,5,4,7,2,4,5,3,5,4,2,5
120,46,22,2,7,6,6,7,7,7,7,7,7,6,6,6,7,6,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,4,6,2,5,3,4,4,7,6,4,6,7,7,7,7,3,5,6,4,6,2,3,4,5,5,4,7,5,6,2,4,4,6,5,4,5,5
121,42,17,2,7,7,6,6,7,7,5,7,5,7,6,7,7,7,6,6,7,7,7,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7,4,3,5,6,6,5,6,4,1,6,6,3,7,6,6,4,4,6,4,2,6,7,7,5,6,5,6,6,2,5,5,3,2,5,5,3
122,48,10,2,7,5,6,6,7,7,6,7,5,5,7,7,7,6,7,7,5,6,7,7,4,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,5,5,1,5,6,4,6,6,5,5,3,6,7,6,7,5,5,6,4,5,4,5,5,6,4,3,6,5,7,3,5,3,5,4,3,3,6
123,50,22,2,7,6,5,6,7,7,5,7,6,5,7,7,7,7,7,6,4,6,7,7,4,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,6,6,2,4,4,5,2,7,6,5,3,5,5,7,7,3,4,6,6,4,4,5,4,6,3,5,6,4,7,5,5,4,4,2,3,4,5
124,38,10,2,7,7,5,6,7,7,5,7,6,7,7,7,7,6,7,7,5,7,5,7,3,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,1,3,6,6,5,5,2,2,4,6,5,6,7,7,5,4,5,5,3,3,4,4,4,6,6,6,6,2,3,3,6,4,4,4,6
125,35,16,1,7,7,6,6,5,7,5,7,5,6,7,7,7,7,7,5,4,6,2,7,5,5,6,6,6,7,7,7,7,7,7,7,5,7,7,7,7,2,2,4,5,1,7,5,6,5,4,5,4,7,7,6,7,7,6,4,4,6,5,2,5,7,6,3,4,5,5,7,3,7,4,6,3,5,5,6
126,41,12,2,7,7,7,7,6,7,7,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,4,5,3,4,5,7,3,5,2,5,6,6,6,7,7,7,3,5,7,5,3,4,6,6,3,5,4,4,7,4,6,4,4,5,3,3,4
127,43,10,2,7,6,5,6,7,7,4,7,6,4,7,7,7,7,7,6,5,6,6,7,5,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,5,6,1,7,4,6,4,7,6,4,2,7,5,7,7,6,5,6,6,4,5,6,5,6,4,3,5,5,7,5,6,3,5,5,3,4,5
128,38,6,2,6,6,5,5,6,6,6,7,6,6,6,6,6,7,7,7,4,7,6,7,6,7,5,5,6,7,6,6,6,6,7,7,7,7,6,6,7,2,2,6,6,3,4,3,2,6,7,3,3,6,6,6,7,7,7,4,4,7,7,3,3,7,5,6,4,6,7,7,6,6,3,3,3,5,3,5
129,46,13,2,6,6,6,5,6,6,6,7,6,5,5,6,6,5,6,7,4,6,5,6,7,6,5,6,4,7,7,7,7,7,7,4,7,7,7,7,7,1,11,5,6,3,6,6,5,6,5,6,3,5,6,6,7,6,5,4,4,7,6,4,4,5,4,2,4,5,4,7,6,6,4,4,6,3,5,4
130,31,5,2,7,7,3,5,7,7,3,7,5,7,7,7,5,7,7,7,7,5,7,7,3,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,6,6,2,6,6,4,2,7,4,5,3,5,5,7,6,3,3,4,6,6,3,7,4,5,4,6,6,6,6,4,5,3,5,4,4,4,4
131,30,4,2,7,7,6,6,7,6,5,7,6,7,7,7,7,6,6,7,5,6,5,7,6,7,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,5,1,5,5,6,5,7,6,2,3,7,4,6,6,3,2,6,5,5,2,4,5,4,3,5,6,5,7,3,6,3,3,4,4,5,5
132,41,18,2,7,7,5,6,6,7,6,7,6,7,7,7,7,7,7,7,7,7,5,6,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,3,3,7,6,1,3,5,3,5,7,5,5,5,6,6,5,6,6,2,5,5,6,3,5,4,3,5,5,5,5,6,4,4,6,3,3,3,5,5
133,41,11,2,7,7,6,7,7,7,7,7,6,7,6,6,7,7,6,7,6,7,4,7,5,7,7,6,6,7,7,7,7,7,7,6,2,7,7,7,7,2,2,5,5,1,7,6,5,3,7,6,4,6,5,5,7,6,4,5,4,6,5,5,5,4,6,6,3,5,6,7,7,6,4,4,4,3,4,4
134,37,7,4,7,7,5,7,7,7,5,7,7,6,7,7,7,7,7,7,7,7,6,7,5,7,5,5,7,6,7,6,5,6,7,7,7,2,2,2,2,2,2,3,7,6,4,3,5,7,7,5,6,4,5,5,7,7,4,5,4,6,5,6,6,5,5,3,5,5,6,5,3,6,3,3,4,6,4,4
135,34,4,1,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,1,11,5,6,4,4,6,3,2,7,2,2,3,4,4,5,5,5,3,6,5,6,3,5,7,5,4,4,6,5,5,5,5,5,2,4,4,4,5
136,57,8,1,7,6,6,7,7,7,7,7,6,6,6,6,6,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,6,6,3,3,6,7,4,7,4,3,6,6,6,7,4,7,3,4,5,6,2,5,5,4,3,5,6,6,6,3,6,5,4,4,3,5,6
137,43,3,2,7,5,6,6,7,7,5,7,6,6,7,7,7,6,7,6,7,6,7,6,5,6,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,7,5,3,7,5,6,2,7,6,3,3,7,7,6,7,6,6,6,4,4,2,6,7,5,2,3,7,7,7,2,5,6,5,4,6,4,4
138,46,20,5,7,7,6,6,6,7,6,7,6,7,7,7,7,7,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,6,7,6,7,4,6,7,4,4,4,4,4,3,4,4,4,2,3,3,4,6,5,3,5,3,7,5,5,5,2,4,4,3,5,3,4,2
139,38,8,2,6,6,7,6,6,5,6,6,5,6,6,7,7,6,6,6,5,6,5,6,5,7,6,5,6,7,6,6,6,7,7,7,7,7,7,7,7,3,3,6,6,2,2,6,6,2,7,5,1,5,6,6,5,6,6,3,6,5,6,3,5,4,5,5,3,5,6,5,3,6,4,4,4,4,5,3
140,36,5,2,6,7,5,3,7,6,6,7,7,7,7,6,7,7,6,6,6,7,7,7,6,7,6,5,6,7,6,6,6,7,7,5,7,7,7,7,7,4,4,4,5,2,6,5,5,3,7,2,6,3,5,5,7,6,4,3,7,4,4,2,4,7,5,4,4,5,5,7,2,5,3,5,4,3,4,5
141,38,9,2,7,6,5,6,5,7,5,6,7,7,5,7,7,6,5,7,5,6,7,7,7,7,7,7,2,7,7,7,7,7,7,7,3,7,7,7,7,6,6,5,6,3,5,5,6,1,6,3,4,5,5,4,5,5,3,5,6,5,5,2,4,6,2,2,4,6,5,7,3,6,4,4,5,5,4,2
142,43,15,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,5,2,5,3,7,2,7,5,2,7,6,6,7,7,4,3,4,5,5,2,5,7,3,5,4,6,4,7,7,6,4,3,6,4,3,5
143,42,15,1,6,6,6,5,7,7,7,6,6,7,6,7,7,7,7,7,6,6,6,7,7,7,6,6,5,7,6,6,6,5,7,5,7,7,7,7,7,2,2,3,4,2,4,2,5,2,6,6,1,6,6,6,7,7,7,6,6,6,5,2,4,4,6,5,6,6,6,6,5,5,3,2,4,3,4,4
144,40,17,2,7,7,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,1,1,6,5,1,3,3,4,3,7,3,1,3,5,4,7,7,4,4,5,6,4,4,3,7,4,3,5,5,6,7,2,6,3,4,6,5,4,5
145,31,6,2,5,7,7,5,5,6,5,5,6,5,6,6,5,6,5,5,5,5,3,5,4,5,4,3,3,7,7,7,7,3,5,6,7,6,6,7,7,5,5,5,5,3,6,4,5,5,4,2,2,6,6,6,6,5,5,4,5,5,5,4,5,4,3,4,4,5,5,7,3,5,3,5,4,3,5,4
146,53,29,2,7,6,6,6,6,5,5,6,6,5,6,5,6,6,5,6,6,6,6,5,6,6,5,5,5,6,6,6,6,6,6,5,7,6,7,7,6,2,2,6,5,1,4,5,4,4,5,5,2,5,5,5,4,4,6,3,5,5,5,3,6,5,5,3,5,6,6,6,6,6,4,4,5,3,5,5
147,32,3,2,6,7,7,6,6,7,6,7,6,7,6,7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,7,7,7,7,7,5,7,7,7,7,7,1,13,6,5,3,5,5,6,4,5,4,4,5,5,5,6,5,4,6,5,6,6,4,5,5,4,4,5,7,5,5,5,5,6,5,6,4,3,2
148,26,4,2,6,7,5,6,6,7,5,7,6,6,7,7,6,7,6,7,6,6,6,6,6,7,6,6,6,7,7,6,6,6,7,6,7,7,7,7,7,2,2,6,6,2,4,6,7,5,7,5,3,6,6,6,6,5,7,3,6,6,6,3,3,5,4,5,5,5,5,6,5,5,6,4,4,4,3,5
149,41,12,1,7,7,3,6,7,7,6,7,6,7,7,7,7,7,7,7,3,7,7,7,7,7,6,3,7,6,7,7,7,7,7,7,7,7,7,7,7,2,2,4,5,2,5,5,5,3,7,3,2,4,4,4,7,7,3,3,5,5,7,3,3,7,3,3,4,5,7,6,5,5,5,3,4,4,3,5
150,38,8,2,7,7,6,7,5,7,6,7,7,7,6,7,7,7,7,7,7,7,4,7,7,7,7,7,5,7,6,6,7,7,7,7,6,7,7,7,7,5,5,4,4,1,5,5,4,4,7,5,4,4,6,6,5,5,6,2,6,6,6,3,5,4,5,4,3,7,6,6,4,4,3,4,4,4,5,2
151,42,10,2,7,7,6,7,7,7,6,7,7,6,7,6,7,6,6,7,7,6,4,7,7,7,5,7,5,7,7,6,7,7,7,6,6,7,7,6,5,1,12,5,5,2,3,4,4,5,7,2,4,6,4,4,6,5,7,4,6,6,4,5,4,5,4,2,5,6,5,6,4,4,3,6,4,5,2,5
152,44,20,2,6,6,5,6,5,5,5,6,5,6,6,6,7,5,5,4,6,7,5,5,5,6,7,6,5,6,5,5,5,6,6,7,7,6,6,6,5,2,2,5,4,1,4,5,5,3,6,6,3,4,6,6,4,4,3,5,4,5,5,3,6,4,4,4,4,6,7,5,5,5,5,4,5,4,6,4
153,40,16,1,7,6,6,5,7,6,5,7,5,7,7,7,5,5,6,5,6,5,5,6,6,6,6,5,5,5,6,6,5,6,7,5,7,7,6,6,6,1,1,5,6,1,7,4,6,5,7,3,5,5,5,5,5,6,5,6,5,5,6,2,6,7,5,5,4,6,7,5,6,6,3,4,4,4,2,4
154,38,9,2,7,7,7,6,7,7,7,7,5,7,7,7,7,7,6,7,7,6,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,5,1,7,3,6,3,6,6,2,4,5,7,7,6,7,3,4,4,5,1,5,4,6,3,5,6,6,5,5,5,5,4,5,4,4,4
155,49,11,2,7,6,6,7,6,7,6,7,6,7,7,7,7,7,7,6,6,7,7,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,10,4,6,3,5,6,5,2,7,2,2,4,6,5,7,7,6,3,7,6,4,5,5,7,6,3,3,7,5,6,6,6,4,4,4,3,4,5
156,40,12,2,7,7,5,6,7,7,4,7,6,5,6,7,7,7,7,6,5,6,6,7,6,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,2,6,3,7,4,7,2,5,5,5,5,7,7,6,5,6,6,4,3,5,5,6,2,3,6,7,7,5,6,3,4,4,4,5,2
157,40,14,2,7,6,6,6,7,7,6,7,7,6,6,6,6,6,6,6,7,6,5,6,5,6,6,5,6,7,6,6,6,7,7,6,7,7,7,7,7,6,9,5,6,2,6,3,4,6,7,4,6,6,6,6,6,6,6,3,6,5,5,3,6,4,5,4,5,6,6,6,4,4,5,3,4,4,5,4
158,59,22,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,14,5,6,1,3,2,6,1,7,2,3,5,5,4,7,7,3,3,4,4,6,3,6,3,3,3,5,5,5,6,3,5,5,5,5,4,5,6
159,32,5,2,7,7,5,7,6,7,6,7,7,6,7,7,7,7,7,7,7,7,1,7,6,7,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,1,10,6,6,3,5,5,6,6,7,2,5,6,6,5,7,7,6,2,4,6,4,4,5,5,2,3,4,5,7,7,4,4,4,4,4,3,6,4
160,36,10,5,7,7,7,7,7,5,5,7,7,7,7,6,7,4,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,5,7,6,3,6,5,7,7,4,5,6,6,6,6,7,5,3,5,6,5,7,4,7,6,3,2,7,7,6,5,4,5,4,5,5,4,5
161,33,8,2,5,6,6,7,7,7,6,7,6,6,7,7,7,6,6,7,5,7,4,6,5,7,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,1,10,4,5,2,4,3,7,5,7,3,3,7,5,5,7,6,4,2,5,5,6,2,4,3,3,4,3,5,4,7,3,3,3,2,4,4,3,5
