Case,Age,Years_in_post,Highest_LOE,PTI1,PTI2,PTI3,PTI4,PTI5,PTI6,PTI7,PTI8,PTI9,PTI10,PTI11,PTI12,PTI13,PTI14,PTI15,PTI16,PTI17,PTI18,PTI19,PTI20,PTI21,PTI22,PTI23,PTI24,PTI25,PTI26,PTI27,PTI28,PTI29,PTI30,PTI31,PTI32,PTI33,PTI34,PTI35,PTI36,PTI37,Specific_training_needs,Other_training_needs,PTP1,PTP2,PTP3,PTP4,PTP5,PTP6,PTP7,PTP8,PTP9,PTP10,PTP11,PTP12,PTP13,PTP14,PTP15,PTP16,PTP17,PTP18,PTP19,PTP20,PTP21,PTP22,PTP23,PTP24,PTP25,PTP26,PTP27,PTP28,PTP29,PTP30,PTP31,PTP32,PTP33,PTP34,PTP35,PTP36,PTP37
45,27,0,2,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,6,5,6,5,5,6,6,6,6,6,7,7,7,6,7,6,6,6,7,6,6,1,1,4,7,4,4,3,5,3,7,6,2,4,4,6,6,7,6,3,6,5,7,4,6,3,6,4,4,6,6,4,4,4,6,5,6,3,5,6
46,27,4,2,7,7,7,7,4,5,7,7,7,7,7,7,7,6,7,7,5,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,6,7,7,7,6,3,3,5,6,2,4,6,7,1,7,7,3,4,6,6,7,6,6,4,7,6,7,2,4,7,5,4,5,5,6,5,4,4,4,6,4,2,2,4
47,33,7,1,7,7,7,7,5,5,7,5,7,7,7,7,7,5,5,5,4,6,7,7,7,5,5,5,5,7,7,7,7,7,7,5,7,7,7,7,7,2,2,4,4,2,5,5,6,3,5,6,2,5,7,7,7,5,5,4,6,3,7,4,5,7,5,5,5,6,4,4,6,5,5,5,6,2,3,4
48,32,8,2,6,7,6,6,6,6,6,6,5,6,6,6,6,7,6,7,6,7,7,6,6,6,6,7,6,6,7,7,7,6,7,6,6,7,6,6,6,1,1,3,4,2,5,4,6,3,6,6,2,6,5,5,6,7,6,3,6,6,6,1,5,2,6,2,4,5,6,5,5,6,5,5,5,6,2,4
49,39,11,2,7,6,6,7,6,6,7,7,7,6,6,7,7,6,7,6,5,6,5,5,6,6,6,7,7,7,7,7,7,6,7,6,7,6,7,7,7,1,8,3,5,3,6,5,7,2,7,5,3,6,7,7,6,7,6,2,6,4,6,3,3,3,3,4,6,5,5,4,4,5,6,4,6,3,3,7
50,40,16,2,7,6,7,6,7,6,7,6,5,6,5,6,6,7,7,6,7,6,6,7,6,6,7,6,7,7,7,7,7,6,7,7,6,6,7,7,7,1,11,3,5,1,5,5,7,2,7,5,1,6,6,6,7,5,5,6,6,5,6,6,6,3,4,4,4,6,6,3,3,6,5,6,6,3,4,5
51,42,18,2,6,5,5,6,5,7,5,7,7,5,6,5,7,7,6,5,5,6,5,5,6,7,5,6,7,6,5,7,6,7,7,6,6,5,7,5,6,1,1,5,6,1,5,6,5,5,7,4,5,4,5,5,7,6,5,5,6,6,5,5,7,4,4,6,6,6,5,3,3,6,4,4,5,2,4,4
52,28,4,2,7,7,6,6,6,5,6,6,5,7,6,7,5,7,5,5,6,6,6,5,6,6,7,5,5,5,6,5,5,6,7,6,6,6,6,6,6,4,8,4,5,3,4,6,5,3,5,4,2,6,5,5,7,5,5,2,6,6,6,4,6,4,5,5,5,6,4,5,2,5,4,6,6,2,4,5
53,37,13,1,7,5,5,6,7,7,5,7,7,6,5,7,7,7,6,5,6,5,7,6,5,6,6,6,5,4,4,5,5,6,6,7,6,7,6,6,7,7,7,4,5,2,6,5,6,4,4,4,5,6,5,5,6,3,4,5,5,5,5,5,3,4,4,4,6,6,5,5,3,5,5,4,4,4,4,6
54,37,9,2,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,7,6,6,6,6,6,7,6,7,6,7,7,7,7,6,6,7,7,7,7,7,6,5,5,6,6,1,4,2,6,3,5,5,2,4,7,7,7,7,5,2,6,3,5,5,5,2,3,3,5,6,5,3,3,5,4,5,5,3,3,4
55,34,0,2,6,7,6,6,6,6,7,7,6,6,7,6,6,6,6,7,6,6,5,7,5,6,6,6,7,5,6,7,6,6,7,6,7,6,7,6,6,6,6,3,4,2,4,3,4,3,6,5,3,6,6,6,7,6,6,3,6,4,7,4,4,7,5,2,5,6,4,6,2,5,5,4,4,3,5,4
56,35,0,2,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,2,1,4,6,2,4,6,4,2,6,3,2,5,5,7,6,6,6,4,6,6,7,5,3,2,6,4,5,5,6,5,2,6,6,5,6,2,5,4
57,31,5,2,6,5,6,5,6,5,5,7,5,5,5,6,5,6,6,6,5,7,7,6,6,6,5,5,5,7,4,4,4,7,6,6,6,6,6,6,6,4,4,6,5,1,4,5,5,5,6,5,5,5,5,5,6,6,6,5,4,6,4,4,6,5,5,5,6,5,6,4,3,6,3,5,6,4,3,6
58,39,11,1,7,7,6,7,7,7,5,7,6,7,7,7,7,7,7,7,6,7,5,7,5,7,6,5,6,7,7,7,7,5,7,6,7,7,7,7,7,2,1,3,4,1,3,6,5,3,7,4,2,4,7,7,7,7,5,6,5,5,5,5,3,7,4,2,4,6,7,7,4,7,3,4,4,2,5,3
59,38,8,2,5,5,6,5,6,6,6,5,6,6,6,6,5,7,6,7,6,6,6,6,7,6,7,6,6,6,7,7,7,6,7,6,6,7,6,7,6,6,6,3,6,1,4,3,6,4,6,4,3,5,5,5,6,5,6,5,6,7,6,6,6,4,5,3,4,6,6,6,3,5,6,5,6,3,4,7
60,38,11,1,7,6,7,6,5,7,5,7,6,5,7,6,7,6,6,7,6,7,6,7,6,7,6,7,7,6,7,7,7,7,5,5,7,6,7,6,7,5,5,5,6,2,6,3,5,4,6,6,1,6,5,7,6,7,6,3,6,4,7,3,3,5,6,3,6,5,5,6,4,4,4,4,6,3,3,5
61,42,9,2,7,7,6,7,7,7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,5,2,3,5,5,1,6,6,3,4,7,7,5,7,4,5,6,6,7,4,4,7,4,3,3,5,5,4,3,5,3,4,4,2,4,4
62,41,12,2,7,7,7,6,7,7,7,7,6,6,6,7,7,7,6,7,6,7,5,5,6,6,6,6,4,6,6,6,7,7,7,6,7,7,7,7,6,2,2,4,5,3,5,6,4,3,7,6,4,6,4,7,7,7,5,2,4,5,6,6,4,3,6,2,4,6,6,7,4,6,4,5,5,3,4,6
63,26,2,2,7,6,7,6,6,6,7,6,6,5,6,5,6,7,6,6,6,7,6,6,7,6,7,6,6,7,6,7,6,5,6,5,6,7,5,5,6,5,5,3,5,3,4,5,6,2,5,5,6,7,6,6,7,6,6,3,4,6,6,6,6,7,3,3,6,5,5,6,5,6,3,4,5,5,3,4
64,35,4,2,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,5,4,4,5,6,6,5,7,5,5,4,6,6,7,7,3,5,6,5,6,3,5,6,3,3,2,5,5,5,3,6,5,4,4,5,4,4
65,38,10,2,7,7,7,5,7,7,6,7,5,6,5,6,7,7,7,7,7,7,5,7,6,7,7,5,7,7,6,6,6,7,7,6,7,7,7,7,7,2,2,4,4,3,5,4,6,2,5,5,4,5,7,7,7,7,7,4,7,5,6,6,6,4,5,3,6,6,6,6,3,5,3,5,6,6,4,6
